                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.82472,                0.54957,                0.99161,                0.86243,                0.90371,                 0.9256,                0.69295,                0.85485,                0.51283,                0.99719,              0.0005149,              0.0005149,              0.0005149
                     51,                0.83566,                0.55693,                 1.0003,                0.85303,                0.89959,                0.92416,                0.69727,                 0.8436,                0.51613,                0.99641,               0.000505,               0.000505,               0.000505
                     52,                0.82596,                0.54301,                0.99168,                0.84192,                0.90713,                0.92607,                0.69895,                0.85425,                0.52512,                0.99579,              0.0004951,              0.0004951,              0.0004951
                     53,                 0.8276,                0.53827,                0.99498,                0.86406,                0.90771,                0.92722,                0.70151,                0.84969,                0.51282,                0.99283,              0.0004852,              0.0004852,              0.0004852
                     54,                0.82406,                0.53623,                0.99626,                0.85328,                 0.8784,                0.91912,                0.69477,                0.84109,                0.52055,                0.99134,              0.0004753,              0.0004753,              0.0004753
                     55,                 0.8163,                0.53424,                0.99082,                0.87202,                0.89817,                0.92631,                0.70214,                0.84181,                0.50692,                0.98853,              0.0004654,              0.0004654,              0.0004654
                     56,                0.81805,                0.53444,                0.98757,                0.85314,                0.88931,                0.92675,                0.70153,                0.84198,                0.51549,                0.99212,              0.0004555,              0.0004555,              0.0004555
                     57,                0.81134,                0.53156,                0.98935,                0.85517,                0.91216,                0.93045,                0.70759,                0.83624,                0.50558,                0.99165,              0.0004456,              0.0004456,              0.0004456
                     58,                0.81648,                0.53296,                0.98624,                0.84902,                0.92281,                0.92871,                0.70562,                0.83498,                0.50533,                0.98424,              0.0004357,              0.0004357,              0.0004357
                     59,                0.82009,                0.53513,                0.99413,                0.85591,                0.89983,                0.92582,                0.70326,                0.84219,                0.50976,                0.98907,              0.0004258,              0.0004258,              0.0004258
                     60,                0.80807,                0.52315,                0.98037,                0.85613,                0.88962,                0.92097,                0.69664,                0.84326,                0.51877,                0.99313,              0.0004159,              0.0004159,              0.0004159
                     61,                 0.8039,                0.51285,                 0.9835,                0.86346,                0.90176,                0.92931,                 0.7065,                0.83667,                0.50303,                0.98917,               0.000406,               0.000406,               0.000406
                     62,                0.79801,                0.51655,                0.98335,                0.85956,                0.90653,                0.92833,                0.70267,                0.84572,                0.51973,                0.99002,              0.0003961,              0.0003961,              0.0003961
                     63,                0.80381,                0.51495,                0.98457,                0.87247,                0.88905,                0.92796,                0.70668,                0.83392,                0.51346,                0.98464,              0.0003862,              0.0003862,              0.0003862
                     64,                0.80272,                0.52079,                0.98236,                0.86686,                0.90342,                0.92968,                0.70729,                0.83229,                0.49999,                0.98348,              0.0003763,              0.0003763,              0.0003763
                     65,                0.79828,                0.51405,                0.98185,                0.86809,                0.90689,                0.92999,                0.70801,                0.83128,                0.50073,                0.98886,              0.0003664,              0.0003664,              0.0003664
                     66,                0.80722,                0.51449,                0.98357,                0.87077,                0.90301,                0.93084,                 0.7072,                0.83201,                0.49845,                0.98834,              0.0003565,              0.0003565,              0.0003565
                     67,                0.79511,                0.50609,                0.98044,                0.87835,                0.88246,                0.93061,                0.70935,                0.83251,                0.50374,                0.98814,              0.0003466,              0.0003466,              0.0003466
                     68,                0.80073,                0.50894,                0.98237,                0.87605,                0.89663,                0.93304,                 0.7121,                0.82601,                0.49785,                0.98456,              0.0003367,              0.0003367,              0.0003367
                     69,                0.78778,                0.50814,                0.97971,                0.87598,                0.90176,                0.93307,                0.70747,                0.83122,                0.49139,                0.98797,              0.0003268,              0.0003268,              0.0003268
                     70,                0.79406,                 0.5085,                0.98099,                0.85151,                0.91726,                0.93024,                0.70966,                0.83551,                0.49936,                0.98902,              0.0003169,              0.0003169,              0.0003169
                     71,                0.77686,                 0.4944,                0.96987,                0.87895,                0.89428,                0.92895,                0.70952,                0.82995,                0.50476,                0.98934,               0.000307,               0.000307,               0.000307
                     72,                0.78698,                0.49745,                0.97669,                0.86854,                0.90596,                0.93215,                0.71077,                0.83226,                0.49998,                0.98922,              0.0002971,              0.0002971,              0.0002971
                     73,                0.77893,                 0.4872,                0.97232,                0.87032,                0.89766,                0.92888,                0.70878,                0.82772,                0.49979,                0.98706,              0.0002872,              0.0002872,              0.0002872
                     74,                0.78733,                0.49701,                0.97873,                0.86393,                0.91119,                0.93241,                0.70988,                0.83733,                0.49681,                0.99242,              0.0002773,              0.0002773,              0.0002773
                     75,                0.77586,                0.48865,                0.97023,                 0.8671,                 0.9155,                0.93435,                0.71248,                0.82768,                0.49078,                0.98899,              0.0002674,              0.0002674,              0.0002674
                     76,                0.78096,                0.48868,                 0.9763,                0.87867,                0.89561,                0.93306,                0.71074,                0.83022,                0.50299,                0.98806,              0.0002575,              0.0002575,              0.0002575
                     77,                0.76697,                0.49114,                 0.9681,                 0.8827,                0.89464,                0.93388,                0.71343,                0.82171,                0.48801,                0.98587,              0.0002476,              0.0002476,              0.0002476
